Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
wastral,biased,mid,09,929.0,51,51,51,48,48,48,48
wastral,biased,mid,10,762.0,51,51,51,48,48,48,48
wastral,biased,mid,11,826.0,51,51,51,48,48,48,48
wastral,biased,mid,12,1115.0,51,51,51,48,48,48,48
wastral,biased,mid,13,1105.0,51,51,51,48,48,48,48
wastral,biased,mid,14,607.0,51,51,51,48,48,48,48
wastral,biased,mid,15,703.0,51,51,51,48,48,47,47
wastral,biased,mid,16,639.0,51,51,51,48,48,47,47
wastral,biased,mid,17,792.0,51,51,51,48,48,48,48
wastral,biased,mid,18,684.0,51,51,51,48,48,48,48
wastral,biased,mid,19,916.0,51,51,51,48,48,48,48
wastral,biased,mid,20,2191.0,51,51,51,48,48,48,48
wastral,unbiased,mid,01,1608.0,51,51,51,48,48,48,48
wastral,unbiased,mid,02,928.0,51,51,51,48,48,47,47
wastral,unbiased,mid,03,2752.0,51,51,51,48,48,48,48
wastral,unbiased,mid,04,1120.0,51,51,51,48,48,48,48
wastral,unbiased,mid,05,2034.0,51,51,51,48,48,47,47
wastral,unbiased,mid,06,1066.0,51,51,51,48,48,48,48
wastral,unbiased,mid,07,1085.0,51,51,51,48,48,47,47
wastral,unbiased,mid,08,675.0,51,51,51,48,48,48,48
wastral,unbiased,mid,09,1645.0,51,51,51,48,48,47,47
wastral,unbiased,mid,10,1098.0,51,51,51,48,48,48,48
wastral,unbiased,mid,11,2126.0,51,51,51,48,48,47,47
wastral,unbiased,mid,12,1113.0,51,51,51,48,48,48,48
wastral,unbiased,mid,13,658.0,51,51,51,48,48,48,48
wastral,unbiased,mid,14,703.0,51,51,51,48,48,48,48
wastral,unbiased,mid,15,1087.0,51,51,51,48,48,48,48
wastral,unbiased,mid,16,653.0,51,51,51,48,48,47,47
wastral,unbiased,mid,17,1514.0,51,51,51,48,48,48,48
wastral,unbiased,mid,18,2076.0,51,51,51,48,48,48,48
wastral,unbiased,mid,19,3077.0,51,51,51,48,48,47,47
wastral,unbiased,mid,20,990.0,51,51,51,48,48,48,48
wastral,fix,low,01,2679.0,51,51,51,48,48,48,48
wastral,fix,low,02,1759.0,51,51,51,48,48,47,47
wastral,fix,low,03,1065.0,51,51,51,48,48,48,48
wastral,fix,low,04,2937.0,51,51,51,48,48,48,48
wastral,fix,low,05,2354.0,51,51,51,48,48,48,48
wastral,fix,low,06,1884.0,51,51,51,48,48,48,48
wastral,fix,low,07,1195.0,51,51,51,48,48,47,47
wastral,fix,low,08,1743.0,51,51,51,48,48,44,44
wastral,fix,low,09,3956.0,51,51,51,48,48,48,48
wastral,fix,low,10,2916.0,51,51,51,48,48,47,47
wastral,fix,low,11,837.0,51,51,51,48,48,47,47
wastral,fix,low,12,1159.0,51,51,51,48,48,48,48
wastral,fix,low,13,1169.0,51,51,51,48,48,47,47
wastral,fix,low,14,1794.0,51,51,51,48,48,47,47
wastral,fix,low,15,1479.0,51,51,51,48,48,48,48
wastral,fix,low,16,1219.0,51,51,51,48,48,47,47
wastral,fix,low,17,1764.0,51,51,51,48,48,48,48
wastral,fix,low,18,1740.0,51,51,51,48,48,48,48
wastral,fix,low,19,2378.0,51,51,51,48,48,48,48
wastral,fix,low,20,798.0,51,51,51,48,48,47,47
wastral,biased,low,01,830.0,51,51,51,48,48,47,47
wastral,biased,low,02,1464.0,51,51,51,48,48,48,48
wastral,biased,low,03,779.0,51,51,51,48,48,48,48
wastral,biased,low,04,773.0,51,51,51,48,48,48,48
wastral,biased,low,05,773.0,51,51,51,48,48,48,48
wastral,biased,low,06,1515.0,51,51,51,48,48,48,48
wastral,biased,low,07,785.0,51,51,51,48,48,48,48
wastral,biased,low,08,661.0,51,51,51,48,48,48,48
wastral,biased,low,09,1307.0,51,51,51,48,48,48,48
wastral,biased,low,10,1177.0,51,51,51,48,48,47,47
wastral,biased,low,11,1114.0,51,51,51,48,48,48,48
wastral,biased,low,12,1207.0,51,51,51,48,48,48,48
wastral,biased,low,13,938.0,51,51,51,48,48,48,48
wastral,biased,low,14,829.0,51,51,51,48,48,47,47
wastral,biased,low,15,3689.0,51,51,51,48,48,48,48
wastral,biased,low,16,2168.0,51,51,51,48,48,47,47
wastral,biased,low,17,1761.0,51,51,51,48,48,48,48
wastral,biased,low,18,927.0,51,51,51,48,48,48,48
wastral,biased,low,19,2497.0,51,51,51,48,48,47,47
wastral,biased,low,20,1375.0,51,51,51,48,48,48,48
wastral,unbiased,low,01,1101.0,51,51,51,48,48,48,48
wastral,unbiased,low,02,1170.0,51,51,51,48,48,48,48
wastral,unbiased,low,03,2385.0,51,51,51,48,48,47,47
wastral,unbiased,low,04,1088.0,51,51,51,48,48,47,47
wastral,unbiased,low,05,2181.0,51,51,51,48,48,48,48
wastral,unbiased,low,06,1719.0,51,51,51,48,48,47,47
wastral,unbiased,low,07,2228.0,51,51,51,48,48,48,48
wastral,unbiased,low,08,2747.0,51,51,51,48,48,48,48
wastral,unbiased,low,09,1117.0,51,51,51,48,48,48,48
wastral,unbiased,low,10,1087.0,51,51,51,48,48,48,48
wastral,unbiased,low,11,2276.0,51,51,51,48,48,48,48
wastral,unbiased,low,12,792.0,51,51,51,48,48,48,48
wastral,unbiased,low,13,1175.0,51,51,51,48,48,48,48
wastral,unbiased,low,14,2230.0,51,51,51,48,48,48,48
wastral,unbiased,low,15,1073.0,51,51,51,48,48,48,48
wastral,unbiased,low,16,1692.0,51,51,51,48,48,48,48
wastral,unbiased,low,17,1667.0,51,51,51,48,48,48,48
wastral,unbiased,low,18,1080.0,51,51,51,48,48,48,48
wastral,unbiased,low,19,1105.0,51,51,51,48,48,48,48
wastral,unbiased,low,20,727.0,51,51,51,48,48,48,48
