Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
astral-multi,biased,mid,03,1520.903,51,51,51,48,48,2,2
astral-multi,biased,mid,04,1278.223,51,51,51,48,48,1,1
astral-multi,biased,mid,05,2285.116,51,51,51,48,48,0,0
astral-multi,biased,mid,06,1958.217,51,51,51,48,48,0,0
astral-multi,biased,mid,07,6995.224,51,51,51,48,48,0,0
astral-multi,biased,mid,08,1309.412,51,51,51,48,48,1,1
astral-multi,biased,mid,09,9024.547,51,51,51,48,48,0,0
astral-multi,biased,mid,10,2072.338,51,51,51,48,48,0,0
astral-multi,biased,mid,11,4936.414,51,51,51,48,48,0,0
astral-multi,biased,mid,12,1368.671,51,51,51,48,48,0,0
astral-multi,biased,mid,13,1236.509,51,51,51,48,48,0,0
astral-multi,biased,mid,14,3379.501,51,51,51,48,48,0,0
astral-multi,biased,mid,15,2019.931,51,51,51,48,48,0,0
astral-multi,biased,mid,16,1509.01,51,51,51,48,48,0,0
astral-multi,biased,mid,17,1694.866,51,51,51,48,48,0,0
astral-multi,biased,mid,18,1346.459,51,51,51,48,48,2,2
astral-multi,biased,mid,19,5880.653,51,51,51,48,48,0,0
astral-multi,biased,mid,20,1197.853,51,51,51,48,48,0,0
astral-multi,unbiased,mid,01,4473.116,51,51,51,48,48,1,1
astral-multi,unbiased,mid,02,3007.612,51,51,51,48,48,0,0
astral-multi,unbiased,mid,03,3729.385,51,51,51,48,48,2,2
astral-multi,unbiased,mid,04,3577.121,51,51,51,48,48,1,1
astral-multi,unbiased,mid,05,3476.946,51,51,51,48,48,0,0
astral-multi,unbiased,mid,06,3146.901,51,51,51,48,48,0,0
astral-multi,unbiased,mid,07,3453.148,51,51,51,48,48,0,0
astral-multi,unbiased,mid,08,3015.707,51,51,51,48,48,1,1
astral-multi,unbiased,mid,09,3751.449,51,51,51,48,48,0,0
astral-multi,unbiased,mid,10,3821.225,51,51,51,48,48,0,0
astral-multi,unbiased,mid,11,3333.86,51,51,51,48,48,0,0
astral-multi,unbiased,mid,12,3232.122,51,51,51,48,48,0,0
astral-multi,unbiased,mid,13,3297.316,51,51,51,48,48,0,0
astral-multi,unbiased,mid,14,3920.786,51,51,51,48,48,0,0
astral-multi,unbiased,mid,15,3763.951,51,51,51,48,48,0,0
astral-multi,unbiased,mid,16,3370.27,51,51,51,48,48,0,0
astral-multi,unbiased,mid,17,3729.041,51,51,51,48,48,0,0
astral-multi,unbiased,mid,18,2869.931,51,51,51,48,48,2,2
astral-multi,unbiased,mid,19,3645.178,51,51,51,48,48,0,0
astral-multi,unbiased,mid,20,3266.502,51,51,51,48,48,0,0
astral-multi,fix,low,01,12118.704,51,51,51,48,48,0,0
astral-multi,fix,low,02,6647.843,51,51,51,48,48,0,0
astral-multi,fix,low,03,7372.475,51,51,51,48,48,2,2
astral-multi,fix,low,04,8654.422,51,51,51,48,48,0,0
astral-multi,fix,low,05,8028.536,51,51,51,48,48,0,0
astral-multi,fix,low,06,7636.396,51,51,51,48,48,0,0
astral-multi,fix,low,07,7182.16,51,51,51,48,48,1,1
astral-multi,fix,low,08,7225.384,51,51,51,48,48,1,1
astral-multi,fix,low,09,7961.295,51,51,51,48,48,0,0
astral-multi,fix,low,10,6935.232,51,51,51,48,48,0,0
astral-multi,fix,low,11,7839.05,51,51,51,48,48,3,3
astral-multi,fix,low,12,8459.806,51,51,51,48,48,0,0
astral-multi,fix,low,13,9564.118,51,51,51,48,48,2,2
astral-multi,fix,low,14,8085.574,51,51,51,48,48,2,2
astral-multi,fix,low,15,7867.087,51,51,51,48,48,2,2
astral-multi,fix,low,16,7427.707,51,51,51,48,48,3,3
astral-multi,fix,low,17,6615.513,51,51,51,48,48,0,0
astral-multi,fix,low,18,6831.536,51,51,51,48,48,1,1
astral-multi,fix,low,19,6958.624,51,51,51,48,48,2,2
astral-multi,fix,low,20,7457.586,51,51,51,48,48,1,1
astral-multi,biased,low,01,5753.548,51,51,51,48,48,0,0
astral-multi,biased,low,02,2509.972,51,51,51,48,48,0,0
astral-multi,biased,low,03,5100.739,51,51,51,48,48,2,2
astral-multi,biased,low,04,3509.494,51,51,51,48,48,0,0
astral-multi,biased,low,05,4720.036,51,51,51,48,48,0,0
astral-multi,biased,low,06,2899.168,51,51,51,48,48,0,0
astral-multi,biased,low,07,2904.544,51,51,51,48,48,1,1
astral-multi,biased,low,08,2730.618,51,51,51,48,48,1,1
astral-multi,biased,low,09,3010.829,51,51,51,48,48,0,0
astral-multi,biased,low,10,3032.0,51,51,51,48,48,0,0
astral-multi,biased,low,11,3220.926,51,51,51,48,48,3,3
astral-multi,biased,low,12,5975.185,51,51,51,48,48,0,0
astral-multi,biased,low,13,4051.569,51,51,51,48,48,2,2
astral-multi,biased,low,14,3332.349,51,51,51,48,48,1,1
astral-multi,biased,low,15,3352.545,51,51,51,48,48,2,2
astral-multi,biased,low,16,7021.283,51,51,51,48,48,3,3
astral-multi,biased,low,17,2218.25,51,51,51,48,48,1,1
astral-multi,biased,low,18,2616.512,51,51,51,48,48,1,1
astral-multi,biased,low,19,9477.966,51,51,51,48,48,2,2
astral-multi,biased,low,20,2388.366,51,51,51,48,48,1,1
astral-multi,unbiased,low,01,9569.542,51,51,51,48,48,0,0
astral-multi,unbiased,low,02,5414.605,51,51,51,48,48,0,0
astral-multi,unbiased,low,03,6124.702,51,51,51,48,48,2,2
astral-multi,unbiased,low,04,7151.678,51,51,51,48,48,0,0
astral-multi,unbiased,low,05,7063.067,51,51,51,48,48,0,0
astral-multi,unbiased,low,06,6326.882,51,51,51,48,48,0,0
astral-multi,unbiased,low,07,5786.067,51,51,51,48,48,1,1
astral-multi,unbiased,low,08,6175.783,51,51,51,48,48,1,1
astral-multi,unbiased,low,09,6293.489,51,51,51,48,48,0,0
astral-multi,unbiased,low,10,5919.8,51,51,51,48,48,0,0
astral-multi,unbiased,low,11,6915.214,51,51,51,48,48,3,3
astral-multi,unbiased,low,12,7530.864,51,51,51,48,48,0,0
astral-multi,unbiased,low,13,8385.263,51,51,51,48,48,2,2
astral-multi,unbiased,low,14,6907.948,51,51,51,48,48,2,2
astral-multi,unbiased,low,15,6193.832,51,51,51,48,48,2,2
astral-multi,unbiased,low,16,5747.577,51,51,51,48,48,3,3
astral-multi,unbiased,low,17,5412.644,51,51,51,48,48,0,0
astral-multi,unbiased,low,18,5774.818,51,51,51,48,48,1,1
astral-multi,unbiased,low,19,5778.858,51,51,51,48,48,2,2
astral-multi,unbiased,low,20,6114.116,51,51,51,48,48,1,1
