Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
Tree-QMC,fix,mid,01,2093,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,14,1916,51,51,51,48,48,1,1
Tree-QMC,unbiased,mid,09,1865,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,12,1929,51,51,51,48,48,0,0
Tree-QMC,biased,mid,12,1207,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,04,1918,51,51,51,48,48,0,0
Tree-QMC,fix,high,17,1966,51,51,51,48,48,0,0
Tree-QMC,fix,mid,11,2131,51,51,51,48,48,0,0
Tree-QMC,biased,high,12,1300,51,51,51,48,48,0,0
Tree-QMC,fix,high,05,2068,51,51,51,48,48,0,0
Tree-QMC,fix,low,16,2055,51,51,51,48,48,3,3
Tree-QMC,biased,low,13,1238,51,51,51,48,48,3,3
Tree-QMC,fix,high,01,1916,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,15,1949,51,51,51,48,48,2,2
Tree-QMC,unbiased,high,02,1940,51,51,51,48,48,0,0
Tree-QMC,fix,mid,07,2020,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,18,1839,51,51,51,48,48,0,0
Tree-QMC,fix,low,02,2096,51,51,51,48,48,1,1
Tree-QMC,biased,low,09,1342,51,51,51,48,48,0,0
Tree-QMC,fix,high,13,2002,51,51,51,48,48,0,0
Tree-QMC,biased,low,05,1192,51,51,51,48,48,0,0
Tree-QMC,fix,low,17,2094,51,51,51,48,48,0,0
Tree-QMC,fix,mid,03,2150,51,51,51,48,48,2,2
Tree-QMC,biased,low,12,1186,51,51,51,48,48,0,0
Tree-QMC,biased,mid,08,1264,51,51,51,48,48,1,1
Tree-QMC,fix,low,01,2104,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,16,2202,51,51,51,48,48,0,0
Tree-QMC,biased,mid,20,1123,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,06,2120,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,10,2149,51,51,51,48,48,0,0
Tree-QMC,fix,mid,17,2000,51,51,51,48,48,0,0
Tree-QMC,fix,low,14,1978,51,51,51,48,48,1,1
Tree-QMC,fix,mid,19,2390,51,51,51,48,48,0,0
Tree-QMC,biased,mid,01,1251,51,51,51,48,48,1,1
Tree-QMC,fix,mid,15,2027,51,51,51,48,48,0,0
Tree-QMC,fix,mid,12,2031,51,51,51,48,48,0,0
Tree-QMC,biased,mid,09,1286,51,51,51,48,48,0,0
Tree-QMC,biased,high,10,1269,51,51,51,48,48,0,0
Tree-QMC,biased,mid,19,1393,51,51,51,48,48,0,0
Tree-QMC,biased,mid,05,1303,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,08,1961,51,51,51,48,48,0,0
Tree-QMC,biased,high,15,1239,51,51,51,48,48,2,2
Tree-QMC,unbiased,low,17,1985,51,51,51,48,48,0,0
Tree-QMC,biased,mid,15,1248,51,51,51,48,48,0,0
Tree-QMC,biased,low,01,1400,51,51,51,48,48,0,0
Tree-QMC,fix,high,19,1922,51,51,51,48,48,0,0
Tree-QMC,fix,high,04,2080,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,11,2176,51,51,51,48,48,2,2
Tree-QMC,biased,low,08,1309,51,51,51,48,48,1,1
Tree-QMC,biased,high,05,1196,51,51,51,48,48,0,0
Tree-QMC,fix,low,03,2477,51,51,51,48,48,2,2
Tree-QMC,biased,high,06,1141,51,51,51,48,48,1,1
Tree-QMC,biased,low,15,1258,51,51,51,48,48,2,2
Tree-QMC,fix,high,07,2029,51,51,51,48,48,0,0
Tree-QMC,fix,mid,20,1996,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,02,2020,51,51,51,48,48,1,1
Tree-QMC,biased,low,17,1117,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,09,2190,51,51,51,48,48,0,0
Tree-QMC,fix,low,08,2293,51,51,51,48,48,1,1
Tree-QMC,fix,mid,18,2028,51,51,51,48,48,2,2
Tree-QMC,fix,low,09,2326,51,51,51,48,48,0,0
Tree-QMC,biased,high,11,1118,51,51,51,48,48,1,1
Tree-QMC,fix,mid,05,2242,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,05,2133,51,51,51,48,48,0,0
Tree-QMC,fix,high,09,2016,51,51,51,48,48,0,0
Tree-QMC,fix,low,15,2075,51,51,51,48,48,2,2
Tree-QMC,unbiased,mid,04,1967,51,51,51,48,48,1,1
Tree-QMC,biased,high,02,1373,51,51,51,48,48,0,0
Tree-QMC,biased,mid,17,1287,51,51,51,48,48,0,0
Tree-QMC,fix,high,14,2009,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,06,2114,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,15,2019,51,51,51,48,48,2,2
Tree-QMC,unbiased,mid,14,2138,51,51,51,48,48,0,0
Tree-QMC,biased,low,02,1201,51,51,51,48,48,0,0
Tree-QMC,fix,high,20,1902,51,51,51,48,48,0,0
Tree-QMC,fix,high,08,2049,51,51,51,48,48,0,0
Tree-QMC,biased,high,09,1177,51,51,51,48,48,0,0
Tree-QMC,biased,mid,07,1304,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,19,2018,51,51,51,48,48,1,1
Tree-QMC,biased,low,19,1381,51,51,51,48,48,1,1
Tree-QMC,fix,low,07,2195,51,51,51,48,48,0,0
Tree-QMC,fix,high,16,2262,51,51,51,48,48,0,0
Tree-QMC,biased,high,07,1228,51,51,51,48,48,0,0
Tree-QMC,biased,mid,02,1300,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,10,2278,51,51,51,48,48,0,0
Tree-QMC,fix,low,06,2223,51,51,51,48,48,1,1
Tree-QMC,biased,mid,06,1316,51,51,51,48,48,0,0
Tree-QMC,fix,mid,13,2030,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,05,1983,51,51,51,48,48,0,0
Tree-QMC,biased,mid,03,1199,51,51,51,48,48,2,2
Tree-QMC,biased,low,10,1528,51,51,51,48,48,1,1
Tree-QMC,biased,mid,16,1424,51,51,51,48,48,0,0
Tree-QMC,biased,high,03,1198,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,11,1929,51,51,51,48,48,0,0
Tree-QMC,biased,low,16,1181,51,51,51,48,48,2,2
Tree-QMC,biased,low,07,1397,51,51,51,48,48,0,0
Tree-QMC,biased,mid,13,1172,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,03,2059,51,51,51,48,48,2,2
Tree-QMC,fix,low,19,2145,51,51,51,48,48,1,1
