Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
astral-4,biased,mid,08,635.0,51,51,51,48,48,1,1
astral-4,biased,mid,09,669.0,51,51,51,48,48,0,0
astral-4,biased,mid,10,604.0,51,51,51,48,48,0,0
astral-4,biased,mid,11,614.0,51,51,51,48,48,0,0
astral-4,biased,mid,12,615.0,51,51,51,48,48,0,0
astral-4,biased,mid,13,564.0,51,51,51,48,48,0,0
astral-4,biased,mid,14,610.0,51,51,51,48,48,0,0
astral-4,biased,mid,15,637.0,51,51,51,48,48,0,0
astral-4,biased,mid,16,446.0,51,51,51,48,48,0,0
astral-4,biased,mid,17,658.0,51,51,51,48,48,0,0
astral-4,biased,mid,18,606.0,51,51,51,48,48,2,2
astral-4,biased,mid,19,615.0,51,51,51,48,48,0,0
astral-4,biased,mid,20,406.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,01,1000.0,51,51,51,48,48,1,1
astral-4,unbiased,mid,02,707.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,03,905.0,51,51,51,48,48,2,2
astral-4,unbiased,mid,04,999.0,51,51,51,48,48,1,1
astral-4,unbiased,mid,05,930.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,06,935.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,07,956.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,08,872.0,51,51,51,48,48,1,1
astral-4,unbiased,mid,09,971.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,10,971.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,11,974.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,12,947.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,13,920.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,14,929.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,15,715.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,16,919.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,17,725.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,18,883.0,51,51,51,48,48,2,2
astral-4,unbiased,mid,19,946.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,20,864.0,51,51,51,48,48,0,0
astral-4,fix,low,01,1061.0,51,51,51,48,48,0,0
astral-4,fix,low,02,1010.0,51,51,51,48,48,0,0
astral-4,fix,low,03,1082.0,51,51,51,48,48,2,2
astral-4,fix,low,04,1006.0,51,51,51,48,48,0,0
astral-4,fix,low,05,836.0,51,51,51,48,48,0,0
astral-4,fix,low,06,1104.0,51,51,51,48,48,0,0
astral-4,fix,low,07,993.0,51,51,51,48,48,1,1
astral-4,fix,low,08,1046.0,51,51,51,48,48,1,1
astral-4,fix,low,09,1061.0,51,51,51,48,48,0,0
astral-4,fix,low,10,993.0,51,51,51,48,48,0,0
astral-4,fix,low,11,1062.0,51,51,51,48,48,3,3
astral-4,fix,low,12,1030.0,51,51,51,48,48,0,0
astral-4,fix,low,13,1010.0,51,51,51,48,48,2,2
astral-4,fix,low,14,1041.0,51,51,51,48,48,2,2
astral-4,fix,low,15,724.0,51,51,51,48,48,2,2
astral-4,fix,low,16,1054.0,51,51,51,48,48,3,3
astral-4,fix,low,17,1037.0,51,51,51,48,48,0,0
astral-4,fix,low,18,1030.0,51,51,51,48,48,1,1
astral-4,fix,low,19,1044.0,51,51,51,48,48,2,2
astral-4,fix,low,20,1028.0,51,51,51,48,48,1,1
astral-4,biased,low,01,768.0,51,51,51,48,48,0,0
astral-4,biased,low,02,619.0,51,51,51,48,48,0,0
astral-4,biased,low,03,663.0,51,51,51,48,48,2,2
astral-4,biased,low,04,656.0,51,51,51,48,48,0,0
astral-4,biased,low,05,465.0,51,51,51,48,48,0,0
astral-4,biased,low,06,486.0,51,51,51,48,48,0,0
astral-4,biased,low,07,672.0,51,51,51,48,48,1,1
astral-4,biased,low,08,436.0,51,51,51,48,48,1,1
astral-4,biased,low,09,643.0,51,51,51,48,48,0,0
astral-4,biased,low,10,655.0,51,51,51,48,48,0,0
astral-4,biased,low,11,693.0,51,51,51,48,48,3,3
astral-4,biased,low,12,639.0,51,51,51,48,48,0,0
astral-4,biased,low,13,698.0,51,51,51,48,48,2,2
astral-4,biased,low,14,456.0,51,51,51,48,48,1,1
astral-4,biased,low,15,615.0,51,51,51,48,48,2,2
astral-4,biased,low,16,657.0,51,51,51,48,48,3,3
astral-4,biased,low,17,533.0,51,51,51,48,48,1,1
astral-4,biased,low,18,684.0,51,51,51,48,48,1,1
astral-4,biased,low,19,517.0,51,51,51,48,48,2,2
astral-4,biased,low,20,420.0,51,51,51,48,48,1,1
astral-4,unbiased,low,01,1013.0,51,51,51,48,48,0,0
astral-4,unbiased,low,02,973.0,51,51,51,48,48,0,0
astral-4,unbiased,low,03,791.0,51,51,51,48,48,2,2
astral-4,unbiased,low,04,974.0,51,51,51,48,48,0,0
astral-4,unbiased,low,05,1036.0,51,51,51,48,48,0,0
astral-4,unbiased,low,06,1072.0,51,51,51,48,48,0,0
astral-4,unbiased,low,07,956.0,51,51,51,48,48,1,1
astral-4,unbiased,low,08,1009.0,51,51,51,48,48,1,1
astral-4,unbiased,low,09,760.0,51,51,51,48,48,0,0
astral-4,unbiased,low,10,958.0,51,51,51,48,48,0,0
astral-4,unbiased,low,11,1045.0,51,51,51,48,48,3,3
astral-4,unbiased,low,12,746.0,51,51,51,48,48,0,0
astral-4,unbiased,low,13,1008.0,51,51,51,48,48,2,2
astral-4,unbiased,low,14,769.0,51,51,51,48,48,2,2
astral-4,unbiased,low,15,893.0,51,51,51,48,48,2,2
astral-4,unbiased,low,16,1012.0,51,51,51,48,48,3,3
astral-4,unbiased,low,17,1002.0,51,51,51,48,48,0,0
astral-4,unbiased,low,18,944.0,51,51,51,48,48,1,1
astral-4,unbiased,low,19,1006.0,51,51,51,48,48,2,2
astral-4,unbiased,low,20,952.0,51,51,51,48,48,1,1
