Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
astral-pro,biased,mid,06,123.0,51,51,51,48,48,0,0
astral-pro,biased,mid,07,144.0,51,51,51,48,48,0,0
astral-pro,biased,mid,08,140.0,51,51,51,48,48,2,2
astral-pro,biased,mid,09,150.0,51,51,51,48,48,1,1
astral-pro,biased,mid,10,220.0,51,51,51,48,48,1,1
astral-pro,biased,mid,11,199.0,51,51,51,48,48,1,1
astral-pro,biased,mid,12,195.0,51,51,51,48,48,0,0
astral-pro,biased,mid,13,153.0,51,51,51,48,48,0,0
astral-pro,biased,mid,14,197.0,51,51,51,48,48,1,1
astral-pro,biased,mid,15,214.0,51,51,51,48,48,0,0
astral-pro,biased,mid,16,194.0,51,51,51,48,48,0,0
astral-pro,biased,mid,17,206.0,51,51,51,48,48,0,0
astral-pro,biased,mid,18,176.0,51,51,51,48,48,1,1
astral-pro,biased,mid,19,191.0,51,51,51,48,48,0,0
astral-pro,biased,mid,20,189.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,01,342.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,02,200.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,03,246.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,04,182.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,05,261.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,06,271.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,07,279.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,08,264.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,09,203.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,10,273.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,11,259.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,12,169.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,13,230.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,14,305.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,15,332.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,16,266.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,17,330.0,51,51,51,48,48,0,0
astral-pro,unbiased,mid,18,293.0,51,51,51,48,48,2,2
astral-pro,unbiased,mid,19,190.0,51,51,51,48,48,1,1
astral-pro,unbiased,mid,20,242.0,51,51,51,48,48,0,0
astral-pro,fix,low,01,268.0,51,51,51,48,48,2,2
astral-pro,fix,low,02,305.0,51,51,51,48,48,1,1
astral-pro,fix,low,03,313.0,51,51,51,48,48,0,0
astral-pro,fix,low,04,280.0,51,51,51,48,48,0,0
astral-pro,fix,low,05,269.0,51,51,51,48,48,0,0
astral-pro,fix,low,06,322.0,51,51,51,48,48,1,1
astral-pro,fix,low,07,188.0,51,51,51,48,48,0,0
astral-pro,fix,low,08,320.0,51,51,51,48,48,1,1
astral-pro,fix,low,09,312.0,51,51,51,48,48,1,1
astral-pro,fix,low,10,281.0,51,51,51,48,48,0,0
astral-pro,fix,low,11,183.0,51,51,51,48,48,3,3
astral-pro,fix,low,12,287.0,51,51,51,48,48,0,0
astral-pro,fix,low,13,310.0,51,51,51,48,48,1,1
astral-pro,fix,low,14,197.0,51,51,51,48,48,1,1
astral-pro,fix,low,15,269.0,51,51,51,48,48,2,2
astral-pro,fix,low,16,196.0,51,51,51,48,48,2,2
astral-pro,fix,low,17,246.0,51,51,51,48,48,0,0
astral-pro,fix,low,18,185.0,51,51,51,48,48,0,0
astral-pro,fix,low,19,307.0,51,51,51,48,48,2,2
astral-pro,fix,low,20,311.0,51,51,51,48,48,1,1
astral-pro,biased,low,01,253.0,51,51,51,48,48,2,2
astral-pro,biased,low,02,200.0,51,51,51,48,48,1,1
astral-pro,biased,low,03,139.0,51,51,51,48,48,0,0
astral-pro,biased,low,04,195.0,51,51,51,48,48,0,0
astral-pro,biased,low,05,200.0,51,51,51,48,48,0,0
astral-pro,biased,low,06,214.0,51,51,51,48,48,1,1
astral-pro,biased,low,07,135.0,51,51,51,48,48,0,0
astral-pro,biased,low,08,219.0,51,51,51,48,48,1,1
astral-pro,biased,low,09,173.0,51,51,51,48,48,0,0
astral-pro,biased,low,10,180.0,51,51,51,48,48,0,0
astral-pro,biased,low,11,210.0,51,51,51,48,48,2,2
astral-pro,biased,low,12,167.0,51,51,51,48,48,0,0
astral-pro,biased,low,13,133.0,51,51,51,48,48,2,2
astral-pro,biased,low,14,204.0,51,51,51,48,48,1,1
astral-pro,biased,low,15,126.0,51,51,51,48,48,0,0
astral-pro,biased,low,16,209.0,51,51,51,48,48,3,3
astral-pro,biased,low,17,171.0,51,51,51,48,48,1,1
astral-pro,biased,low,18,195.0,51,51,51,48,48,2,2
astral-pro,biased,low,19,226.0,51,51,51,48,48,2,2
astral-pro,biased,low,20,187.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,01,318.0,51,51,51,48,48,2,2
astral-pro,unbiased,low,02,233.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,03,280.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,04,277.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,05,208.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,06,333.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,07,231.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,08,331.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,09,303.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,10,227.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,11,304.0,51,51,51,48,48,2,2
astral-pro,unbiased,low,12,195.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,13,291.0,51,51,51,48,48,2,2
astral-pro,unbiased,low,14,185.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,15,296.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,16,286.0,51,51,51,48,48,1,1
astral-pro,unbiased,low,17,182.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,18,282.0,51,51,51,48,48,0,0
astral-pro,unbiased,low,19,295.0,51,51,51,48,48,2,2
astral-pro,unbiased,low,20,180.0,51,51,51,48,48,1,1
